REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,Chitipa,Gwanda Chakuamba,RP,#FF0000,32002
NORTHERN REGION,Chitipa,Justin Chimera ,INDEPENDENT,#948A54,737
NORTHERN REGION,Chitipa,Brown James Mpinganjira,NDA,#0070C0,5228
NORTHERN REGION,Chitipa,Dr. Bingu Wa Mutharika,UDF,#FCF600,12858
NORTHERN REGION,Chitipa,John Zenasi Ungapake Tembo,MCP,#00A200,1664
NORTHERN REGION,Karonga,Gwanda Chakuamba,RP,#FF0000,63919
NORTHERN REGION,Karonga,Justin Chimera ,INDEPENDENT,#948A54,722
NORTHERN REGION,Karonga,Brown James Mpinganjira,NDA,#0070C0,2152
NORTHERN REGION,Karonga,Dr. Bingu Wa Mutharika,UDF,#FCF600,14359
NORTHERN REGION,Karonga,John Zenasi Ungapake Tembo,MCP,#00A200,1305
NORTHERN REGION,Rumphi,Gwanda Chakuamba,RP,#FF0000,36451
NORTHERN REGION,Rumphi,Justin Chimera ,INDEPENDENT,#948A54,454
NORTHERN REGION,Rumphi,Brown James Mpinganjira,NDA,#0070C0,1036
NORTHERN REGION,Rumphi,Dr. Bingu Wa Mutharika,UDF,#FCF600,15123
NORTHERN REGION,Rumphi,John Zenasi Ungapake Tembo,MCP,#00A200,779
NORTHERN REGION,Nkhata Bay,Gwanda Chakuamba,RP,#FF0000,46417
NORTHERN REGION,Nkhata Bay,Justin Chimera ,INDEPENDENT,#948A54,340
NORTHERN REGION,Nkhata Bay,Brown James Mpinganjira,NDA,#0070C0,2019
NORTHERN REGION,Nkhata Bay,Dr. Bingu Wa Mutharika,UDF,#FCF600,9593
NORTHERN REGION,Nkhata Bay,John Zenasi Ungapake Tembo,MCP,#00A200,866
NORTHERN REGION,Mzimba,Gwanda Chakuamba,RP,#FF0000,194051
NORTHERN REGION,Mzimba,Justin Chimera ,INDEPENDENT,#948A54,2962
NORTHERN REGION,Mzimba,Brown James Mpinganjira,NDA,#0070C0,7285
NORTHERN REGION,Mzimba,Dr. Bingu Wa Mutharika,UDF,#FCF600,40027
NORTHERN REGION,Mzimba,John Zenasi Ungapake Tembo,MCP,#00A200,12554
NORTHERN REGION,Likoma,Gwanda Chakuamba,RP,#FF0000,699
NORTHERN REGION,Likoma,Justin Chimera ,INDEPENDENT,#948A54,25
NORTHERN REGION,Likoma,Brown James Mpinganjira,NDA,#0070C0,752
NORTHERN REGION,Likoma,Dr. Bingu Wa Mutharika,UDF,#FCF600,1461
NORTHERN REGION,Likoma,John Zenasi Ungapake Tembo,MCP,#00A200,608
CENTRAL REGION,Kasungu,Gwanda Chakuamba,RP,#FF0000,25189
CENTRAL REGION,Kasungu,Justin Chimera ,INDEPENDENT,#948A54,1979
CENTRAL REGION,Kasungu,Brown James Mpinganjira,NDA,#0070C0,7262
CENTRAL REGION,Kasungu,Dr. Bingu Wa Mutharika,UDF,#FCF600,31126
CENTRAL REGION,Kasungu,John Zenasi Ungapake Tembo,MCP,#00A200,114131
CENTRAL REGION,Nkhotakota,Gwanda Chakuamba,RP,#FF0000,11731
CENTRAL REGION,Nkhotakota,Justin Chimera ,INDEPENDENT,#948A54,1319
CENTRAL REGION,Nkhotakota,Brown James Mpinganjira,NDA,#0070C0,3203
CENTRAL REGION,Nkhotakota,Dr. Bingu Wa Mutharika,UDF,#FCF600,35683
CENTRAL REGION,Nkhotakota,John Zenasi Ungapake Tembo,MCP,#00A200,30617
CENTRAL REGION,Ntchisi,Gwanda Chakuamba,RP,#FF0000,1450
CENTRAL REGION,Ntchisi,Justin Chimera ,INDEPENDENT,#948A54,19297
CENTRAL REGION,Ntchisi,Brown James Mpinganjira,NDA,#0070C0,891
CENTRAL REGION,Ntchisi,Dr. Bingu Wa Mutharika,UDF,#FCF600,8638
CENTRAL REGION,Ntchisi,John Zenasi Ungapake Tembo,MCP,#00A200,28149
CENTRAL REGION,Dowa,Gwanda Chakuamba,RP,#FF0000,4309
CENTRAL REGION,Dowa,Justin Chimera ,INDEPENDENT,#948A54,1602
CENTRAL REGION,Dowa,Brown James Mpinganjira,NDA,#0070C0,2104
CENTRAL REGION,Dowa,Dr. Bingu Wa Mutharika,UDF,#FCF600,22491
CENTRAL REGION,Dowa,John Zenasi Ungapake Tembo,MCP,#00A200,115523
CENTRAL REGION,Salima,Gwanda Chakuamba,RP,#FF0000,3316
CENTRAL REGION,Salima,Justin Chimera ,INDEPENDENT,#948A54,1677
CENTRAL REGION,Salima,Brown James Mpinganjira,NDA,#0070C0,2925
CENTRAL REGION,Salima,Dr. Bingu Wa Mutharika,UDF,#FCF600,34964
CENTRAL REGION,Salima,John Zenasi Ungapake Tembo,MCP,#00A200,44881
CENTRAL REGION,Mchinji,Gwanda Chakuamba,RP,#FF0000,2944
CENTRAL REGION,Mchinji,Justin Chimera ,INDEPENDENT,#948A54,1168
CENTRAL REGION,Mchinji,Brown James Mpinganjira,NDA,#0070C0,2605
CENTRAL REGION,Mchinji,Dr. Bingu Wa Mutharika,UDF,#FCF600,26771
CENTRAL REGION,Mchinji,John Zenasi Ungapake Tembo,MCP,#00A200,74176
CENTRAL REGION,Lilongwe,Gwanda Chakuamba,RP,#FF0000,37660
CENTRAL REGION,Lilongwe,Justin Chimera ,INDEPENDENT,#948A54,4395
CENTRAL REGION,Lilongwe,Brown James Mpinganjira,NDA,#0070C0,11194
CENTRAL REGION,Lilongwe,Dr. Bingu Wa Mutharika,UDF,#FCF600,69701
CENTRAL REGION,Lilongwe,John Zenasi Ungapake Tembo,MCP,#00A200,336303
CENTRAL REGION,Dedza,Gwanda Chakuamba,RP,#FF0000,3009
CENTRAL REGION,Dedza,Justin Chimera ,INDEPENDENT,#948A54,1788
CENTRAL REGION,Dedza,Brown James Mpinganjira,NDA,#0070C0,2448
CENTRAL REGION,Dedza,Dr. Bingu Wa Mutharika,UDF,#FCF600,31661
CENTRAL REGION,Dedza,John Zenasi Ungapake Tembo,MCP,#00A200,118809
CENTRAL REGION,Ntcheu,Gwanda Chakuamba,RP,#FF0000,8919
CENTRAL REGION,Ntcheu,Justin Chimera ,INDEPENDENT,#948A54,3174
CENTRAL REGION,Ntcheu,Brown James Mpinganjira,NDA,#0070C0,9289
CENTRAL REGION,Ntcheu,Dr. Bingu Wa Mutharika,UDF,#FCF600,48502
CENTRAL REGION,Ntcheu,John Zenasi Ungapake Tembo,MCP,#00A200,25694
SOUTHERN REGION,Mangochi,Gwanda Chakuamba,RP,#FF0000,10902
SOUTHERN REGION,Mangochi,Justin Chimera ,INDEPENDENT,#948A54,4412
SOUTHERN REGION,Mangochi,Brown James Mpinganjira,NDA,#0070C0,12062
SOUTHERN REGION,Mangochi,Dr. Bingu Wa Mutharika,UDF,#FCF600,156426
SOUTHERN REGION,Mangochi,John Zenasi Ungapake Tembo,MCP,#00A200,6487
SOUTHERN REGION,Balaka,Gwanda Chakuamba,RP,#FF0000,8192
SOUTHERN REGION,Balaka,Justin Chimera ,INDEPENDENT,#948A54,1796
SOUTHERN REGION,Balaka,Brown James Mpinganjira,NDA,#0070C0,8309
