REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
CENTRAL REGION,NKHOTAKOTA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"55,373"
CENTRAL REGION,NKHOTAKOTA,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,488"
CENTRAL REGION,NKHOTAKOTA,"Dr. Muluzi, Bakili",UDF,#FCF600,"54,262"
CENTRAL REGION,NKHOTAKOTA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,531
CENTRAL REGION,NKHOTAKOTA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,653
CENTRAL REGION,NTCHISI,"Mr. Chakuamba, Gwanda",MCP,#00A200,"41,924"
CENTRAL REGION,NTCHISI,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,333"
CENTRAL REGION,NTCHISI,"Dr. Muluzi, Bakili",UDF,#FCF600,"32,496"
CENTRAL REGION,NTCHISI,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,317
CENTRAL REGION,NTCHISI,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,279
CENTRAL REGION,DOWA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"133,392"
CENTRAL REGION,DOWA,"Mr. Kalua, Kamlepo",MDP,#E20000,"3,212"
CENTRAL REGION,DOWA,"Dr. Muluzi, Bakili",UDF,#FCF600,"45,841"
CENTRAL REGION,DOWA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,543
CENTRAL REGION,DOWA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,643
CENTRAL REGION,SALIMA,"Mr. Chakuamba, Gwanda",MCP,#00A200,50106
CENTRAL REGION,SALIMA,"Mr. Kalua, Kamlepo",MDP,#E20000,2129
CENTRAL REGION,SALIMA,"Dr. Muluzi, Bakili",UDF,#FCF600,55597
CENTRAL REGION,SALIMA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,516
CENTRAL REGION,SALIMA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,501
CENTRAL REGION,MCHINJI,"Mr. Chakuamba, Gwanda",MCP,#00A200,"87,453"
CENTRAL REGION,MCHINJI,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,304"
CENTRAL REGION,MCHINJI,"Dr. Muluzi, Bakili",UDF,#FCF600,"53,938"
CENTRAL REGION,MCHINJI,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,587
CENTRAL REGION,MCHINJI,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,769
CENTRAL REGION,LILONGWE,"Mr. Chakuamba, Gwanda",MCP,#00A200,"417,532"
CENTRAL REGION,LILONGWE,"Mr. Kalua, Kamlepo",MDP,#E20000,"7,090"
CENTRAL REGION,LILONGWE,"Dr. Muluzi, Bakili",UDF,#FCF600,"142,015"
CENTRAL REGION,LILONGWE,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,385"
CENTRAL REGION,LILONGWE,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,715"
CENTRAL REGION,DEDZA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"144,937"
CENTRAL REGION,DEDZA,"Mr. Kalua, Kamlepo",MDP,#E20000,"3,937"
CENTRAL REGION,DEDZA,"Dr. Muluzi, Bakili",UDF,#FCF600,"69,509"
CENTRAL REGION,DEDZA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,704
CENTRAL REGION,DEDZA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,924
CENTRAL REGION,NTCHEU,"Mr. Chakuamba, Gwanda",MCP,#00A200,"30,246"
CENTRAL REGION,NTCHEU,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,742"
CENTRAL REGION,NTCHEU,"Dr. Muluzi, Bakili",UDF,#FCF600,"131,229"
CENTRAL REGION,NTCHEU,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,452"
CENTRAL REGION,NTCHEU,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,053"
SOUTHERN REGION,MANGOCHI,"Mr. Chakuamba, Gwanda",MCP,#00A200,"24,160"
SOUTHERN REGION,MANGOCHI,"Mr. Kalua, Kamlepo",MDP,#E20000,"4,311"
SOUTHERN REGION,MANGOCHI,"Dr. Muluzi, Bakili",UDF,#FCF600,"275,940"
SOUTHERN REGION,MANGOCHI,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,367"
SOUTHERN REGION,MANGOCHI,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,158"
SOUTHERN REGION,BALAKA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"10,400"
SOUTHERN REGION,BALAKA,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,803"
SOUTHERN REGION,BALAKA,"Dr. Muluzi, Bakili",UDF,#FCF600,"111,723"
SOUTHERN REGION,BALAKA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,508
SOUTHERN REGION,BALAKA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,540
SOUTHERN REGION,MACHINGA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"6,193"
SOUTHERN REGION,MACHINGA,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,399"
SOUTHERN REGION,MACHINGA,"Dr. Muluzi, Bakili",UDF,#FCF600,"175,735"
SOUTHERN REGION,MACHINGA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,801
SOUTHERN REGION,MACHINGA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,648
SOUTHERN REGION,ZOMBA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"26,021"
SOUTHERN REGION,ZOMBA,"Mr. Kalua, Kamlepo",MDP,#E20000,"4,591"
SOUTHERN REGION,ZOMBA,"Dr. Muluzi, Bakili",UDF,#FCF600,"226,336"
SOUTHERN REGION,ZOMBA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,198"
SOUTHERN REGION,ZOMBA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,910
SOUTHERN REGION,CHIRADZULU,"Mr. Chakuamba, Gwanda",MCP,#00A200,"10,697"
SOUTHERN REGION,CHIRADZULU,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,454"
SOUTHERN REGION,CHIRADZULU,"Dr. Muluzi, Bakili",UDF,#FCF600,"107,161"
SOUTHERN REGION,CHIRADZULU,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,549
SOUTHERN REGION,CHIRADZULU,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,420
SOUTHERN REGION,BLANTYRE,"Mr. Chakuamba, Gwanda",MCP,#00A200,"86,662"
SOUTHERN REGION,BLANTYRE,"Mr. Kalua, Kamlepo",MDP,#E20000,"3,739"
SOUTHERN REGION,BLANTYRE,"Dr. Muluzi, Bakili",UDF,#FCF600,"262,974"
SOUTHERN REGION,BLANTYRE,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,756"
SOUTHERN REGION,BLANTYRE,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,199"
SOUTHERN REGION,MWANZA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"13,256"
SOUTHERN REGION,MWANZA,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,252"
SOUTHERN REGION,MWANZA,"Dr. Muluzi, Bakili",UDF,#FCF600,"50,901"
SOUTHERN REGION,MWANZA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,429
SOUTHERN REGION,MWANZA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,478
SOUTHERN REGION,THYOLO,"Mr. Chakuamba, Gwanda",MCP,#00A200,"37,565"
SOUTHERN REGION,THYOLO,"Mr. Kalua, Kamlepo",MDP,#E20000,"4,235"
SOUTHERN REGION,THYOLO,"Dr. Muluzi, Bakili",UDF,#FCF600,"174,327"
SOUTHERN REGION,THYOLO,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"3,448"
SOUTHERN REGION,THYOLO,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,586"
SOUTHERN REGION,PHALOMBE,"Mr. Chakuamba, Gwanda",MCP,#00A200,"14,750"
SOUTHERN REGION,PHALOMBE,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,130"
SOUTHERN REGION,PHALOMBE,"Dr. Muluzi, Bakili",UDF,#FCF600,"97,693"
SOUTHERN REGION,PHALOMBE,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"1,241"
SOUTHERN REGION,PHALOMBE,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,972
SOUTHERN REGION,MULANJE,"Mr. Chakuamba, Gwanda",MCP,#00A200,"38,615"
SOUTHERN REGION,MULANJE,"Mr. Kalua, Kamlepo",MDP,#E20000,"5,269"
SOUTHERN REGION,MULANJE,"Dr. Muluzi, Bakili",UDF,#FCF600,"165,050"
SOUTHERN REGION,MULANJE,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,"2,162"
SOUTHERN REGION,MULANJE,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,730"
SOUTHERN REGION,CHIKWAWA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"83,109"
SOUTHERN REGION,CHIKWAWA,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,712"
SOUTHERN REGION,CHIKWAWA,"Dr. Muluzi, Bakili",UDF,#FCF600,"68,228"
SOUTHERN REGION,CHIKWAWA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,557
SOUTHERN REGION,CHIKWAWA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,639
SOUTHERN REGION,NSANJE,"Mr. Chakuamba, Gwanda",MCP,#00A200,60315
SOUTHERN REGION,NSANJE,"Mr. Kalua, Kamlepo",MDP,#E20000,1048
SOUTHERN REGION,NSANJE,"Dr. Muluzi, Bakili",UDF,#FCF600,30575
SOUTHERN REGION,NSANJE,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,244
SOUTHERN REGION,NSANJE,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,257
