REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"57,851"
NORTHERN REGION,CHITIPA,"Mr. Kalua, Kamlepo",MDP,#E20000,554
NORTHERN REGION,CHITIPA,"Dr. Muluzi, Bakili",UDF,#FCF600,"6,330"
NORTHERN REGION,CHITIPA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,68
NORTHERN REGION,CHITIPA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,576
NORTHERN REGION,KARONGA,"Mr. Chakuamba, Gwanda",MCP,#00A200,88977
NORTHERN REGION,KARONGA,"Mr. Kalua, Kamlepo",MDP,#E20000,617
NORTHERN REGION,KARONGA,"Dr. Muluzi, Bakili",UDF,#FCF600,5366
NORTHERN REGION,KARONGA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,142
NORTHERN REGION,KARONGA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,612
NORTHERN REGION,RUMPHI,"Mr. Chakuamba, Gwanda",MCP,#00A200,"67,160"
NORTHERN REGION,RUMPHI,"Mr. Kalua, Kamlepo",MDP,#E20000,505
NORTHERN REGION,RUMPHI,"Dr. Muluzi, Bakili",UDF,#FCF600,"7,159"
NORTHERN REGION,RUMPHI,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,62
NORTHERN REGION,RUMPHI,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,401
NORTHERN REGION,NKHATA BAY,"Mr. Chakuamba, Gwanda",MCP,#00A200,"72,912"
NORTHERN REGION,NKHATA BAY,"Mr. Kalua, Kamlepo",MDP,#E20000,"1,108"
NORTHERN REGION,NKHATA BAY,"Dr. Muluzi, Bakili",UDF,#FCF600,"14,636"
NORTHERN REGION,NKHATA BAY,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,297
NORTHERN REGION,NKHATA BAY,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,008"
NORTHERN REGION,MZIMBA,"Mr. Chakuamba, Gwanda",MCP,#00A200,"286,788"
NORTHERN REGION,MZIMBA,"Mr. Kalua, Kamlepo",MDP,#E20000,"2,889"
NORTHERN REGION,MZIMBA,"Dr. Muluzi, Bakili",UDF,#FCF600,"27,639"
NORTHERN REGION,MZIMBA,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,543
NORTHERN REGION,MZIMBA,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"3,209"
CENTRAL REGION,KASUNGU,"Mr. Chakuamba, Gwanda",MCP,#00A200,"163,396"
CENTRAL REGION,KASUNGU,"Mr. Kalua, Kamlepo",MDP,#E20000,"3,005"
CENTRAL REGION,KASUNGU,"Dr. Muluzi, Bakili",UDF,#FCF600,"50,025"
CENTRAL REGION,KASUNGU,"Dr. Mutharika, Bingu wa",UP,#6A5ACD,657
CENTRAL REGION,KASUNGU,"Bishop Nkhumbwe, Daniel Kamfosi",CONU,#3366FF,"1,469"
