REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
Northern Region,Chitipa,ATUPELE MULUZI,UDF,#FFFF00,499
Northern Region,Chitipa,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,43727
Northern Region,Chitipa,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,16232
Northern Region,Chitipa,PETER  DSD KUWANI,MMD,#008000,455
Northern Region,Chitipa,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,13975
Northern Region,Chitipa,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,570
Northern Region,Chitipa,REVEREND HADWICK KALIYA,IND,#A49960,306
Northern Region,Karonga,ATUPELE MULUZI,UDF,#FFFF00,1628
Northern Region,Karonga,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,55567
Northern Region,Karonga,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,26209
Northern Region,Karonga,PETER  DSD KUWANI,MMD,#008000,666
Northern Region,Karonga,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,30658
Northern Region,Karonga,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,707
Northern Region,Karonga,REVEREND HADWICK KALIYA,IND,#A49960,373
Northern Region,Likoma,ATUPELE MULUZI,UDF,#FFFF00,135
Northern Region,Likoma,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,2063
Northern Region,Likoma,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,1353
Northern Region,Likoma,PETER  DSD KUWANI,MMD,#008000,5
Northern Region,Likoma,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,2225
Northern Region,Likoma,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,10
Northern Region,Likoma,REVEREND HADWICK KALIYA,IND,#A49960,6
Northern Region,Mzimba,ATUPELE MULUZI,UDF,#FFFF00,3319
Northern Region,Mzimba,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,161872
Northern Region,Mzimba,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,144974
Northern Region,Mzimba,PETER  DSD KUWANI,MMD,#008000,1833
Northern Region,Mzimba,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,56014
Northern Region,Mzimba,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,2532
Northern Region,Mzimba,REVEREND HADWICK KALIYA,IND,#A49960,1491
Northern Region,Nkhata Bay,ATUPELE MULUZI,UDF,#FFFF00,790
Northern Region,Nkhata Bay,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,35106
Northern Region,Nkhata Bay,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,19393
Northern Region,Nkhata Bay,PETER  DSD KUWANI,MMD,#008000,356
Northern Region,Nkhata Bay,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,21082
Northern Region,Nkhata Bay,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,316
Northern Region,Nkhata Bay,REVEREND HADWICK KALIYA,IND,#A49960,214
Northern Region,Rumphi,ATUPELE MULUZI,UDF,#FFFF00,551
Northern Region,Rumphi,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,41256
Northern Region,Rumphi,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,19285
Northern Region,Rumphi,PETER  DSD KUWANI,MMD,#008000,245
Northern Region,Rumphi,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,14596
Northern Region,Rumphi,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,401
Northern Region,Rumphi,REVEREND HADWICK KALIYA,IND,#A49960,191
Central Region,Dedza ,ATUPELE MULUZI,UDF,#FFFF00,7512
Central Region,Dedza ,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,24602
Central Region,Dedza ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,149395
Central Region,Dedza ,PETER  DSD KUWANI,MMD,#008000,810
Central Region,Dedza ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,23278
Central Region,Dedza ,Professor JOHN  EUGENES CHISI,UP,#6A5ACD,1015
Central Region,Dedza ,REVEREND HADWICK KALIYA,IND,#A49960,898
Central Region,Dowa,ATUPELE MULUZI,UDF,#FFFF00,1054
Central Region,Dowa,Dr. SAULOS KLAUS CHILIMA,UTM,#FF0000,17666
