REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,MZIMBA,Friday Anderson JUMBE,NLP,#948A54,604
NORTHERN REGION,MZIMBA,Aaron Davies Chester KATSONGA,CCP,#975D2A,418
NORTHERN REGION,MZIMBA,Mark KATSONGA PHIRI,PPM,#C00000,866
NORTHERN REGION,MZIMBA,Atupele MULUZI,UDF,#FCF600,11187
NORTHERN REGION,MZIMBA,Prof. Peter MUTHARIKA,DPP,#00B0F0,82654
NORTHERN REGION,MZIMBA,George NNENSA,MAFUNDE,#948A54,614
NORTHERN REGION,MZIMBA,James Mbowe NYONDO,NASAF,#948A54,839
NORTHERN REGION,MZIMBA,Abusa Helen SINGH,UIP,#948A54,898
CENTRAL REGION,KASUNGU,Dr. Joyce Hilda BANDA,PP,#FF6400,55614
CENTRAL REGION,KASUNGU,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,164646
CENTRAL REGION,KASUNGU,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,1029
CENTRAL REGION,KASUNGU,Prof. John CHISI,UP,#948A54,843
CENTRAL REGION,KASUNGU,Friday Anderson JUMBE,NLP,#948A54,314
CENTRAL REGION,KASUNGU,Aaron Davies Chester KATSONGA,CCP,#975D2A,186
CENTRAL REGION,KASUNGU,Mark KATSONGA PHIRI,PPM,#C00000,419
CENTRAL REGION,KASUNGU,Atupele MULUZI,UDF,#FCF600,7233
CENTRAL REGION,KASUNGU,Prof. Peter MUTHARIKA,DPP,#00B0F0,42808
CENTRAL REGION,KASUNGU,George NNENSA,MAFUNDE,#948A54,532
CENTRAL REGION,KASUNGU,James Mbowe NYONDO,NASAF,#948A54,481
CENTRAL REGION,KASUNGU,Abusa Helen SINGH,UIP,#948A54,322
CENTRAL REGION,NKHOTAKOTA,Dr. Joyce Hilda BANDA,PP,#FF6400,35756
CENTRAL REGION,NKHOTAKOTA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,7738
CENTRAL REGION,NKHOTAKOTA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,353
CENTRAL REGION,NKHOTAKOTA,Prof. John CHISI,UP,#948A54,223
CENTRAL REGION,NKHOTAKOTA,Friday Anderson JUMBE,NLP,#948A54,122
CENTRAL REGION,NKHOTAKOTA,Aaron Davies Chester KATSONGA,CCP,#975D2A,65
CENTRAL REGION,NKHOTAKOTA,Mark KATSONGA PHIRI,PPM,#C00000,135
CENTRAL REGION,NKHOTAKOTA,Atupele MULUZI,UDF,#FCF600,1238
CENTRAL REGION,NKHOTAKOTA,Prof. Peter MUTHARIKA,DPP,#00B0F0,31119
CENTRAL REGION,NKHOTAKOTA,George NNENSA,MAFUNDE,#948A54,176
CENTRAL REGION,NKHOTAKOTA,James Mbowe NYONDO,NASAF,#948A54,2613
CENTRAL REGION,NKHOTAKOTA,Abusa Helen SINGH,UIP,#948A54,126
CENTRAL REGION,NTCHISI,Dr. Joyce Hilda BANDA,PP,#FF6400,17830
CENTRAL REGION,NTCHISI,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,59365
CENTRAL REGION,NTCHISI,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,405
CENTRAL REGION,NTCHISI,Prof. John CHISI,UP,#948A54,231
CENTRAL REGION,NTCHISI,Friday Anderson JUMBE,NLP,#948A54,117
CENTRAL REGION,NTCHISI,Aaron Davies Chester KATSONGA,CCP,#975D2A,78
CENTRAL REGION,NTCHISI,Mark KATSONGA PHIRI,PPM,#C00000,96
CENTRAL REGION,NTCHISI,Atupele MULUZI,UDF,#FCF600,1415
CENTRAL REGION,NTCHISI,Prof. Peter MUTHARIKA,DPP,#00B0F0,17693
CENTRAL REGION,NTCHISI,George NNENSA,MAFUNDE,#948A54,135
CENTRAL REGION,NTCHISI,James Mbowe NYONDO,NASAF,#948A54,957
CENTRAL REGION,NTCHISI,Abusa Helen SINGH,UIP,#948A54,134
CENTRAL REGION,DOWA,Dr. Joyce Hilda BANDA,PP,#FF6400,21838
