REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,MZIMBA,BINGU,DPP,#00B0F0,331000
NORTHERN REGION,MZIMBA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1262
NORTHERN REGION,MZIMBA,GONDWE Loveness  (Ms),NARC,#948A54,2451
NORTHERN REGION,MZIMBA,MASAULI Stanley Edingtone,RP,#948A54,968
NORTHERN REGION,MZIMBA,NYASULU Gowa Dindi,AFORD,#0070C0,1191
NORTHERN REGION,MZIMBA,NYONDO James Mbowe,INDEPENDENT,#948A54,762
NORTHERN REGION,MZIMBA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,11073
NORTHERN REGION,LIKOMA,BINGU,DPP,#00B0F0,3491
NORTHERN REGION,LIKOMA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,14
NORTHERN REGION,LIKOMA,GONDWE Loveness  (Ms),NARC,#948A54,29
NORTHERN REGION,LIKOMA,MASAULI Stanley Edingtone,RP,#948A54,24
NORTHERN REGION,LIKOMA,NYASULU Gowa Dindi,AFORD,#0070C0,11
NORTHERN REGION,LIKOMA,NYONDO James Mbowe,INDEPENDENT,#948A54,13
NORTHERN REGION,LIKOMA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,731
CENTRAL REGION,KASUNGU,BINGU,DPP,#00B0F0,146235
CENTRAL REGION,KASUNGU,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1754
CENTRAL REGION,KASUNGU,GONDWE Loveness  (Ms),NARC,#948A54,1734
CENTRAL REGION,KASUNGU,MASAULI Stanley Edingtone,RP,#948A54,2389
CENTRAL REGION,KASUNGU,NYASULU Gowa Dindi,AFORD,#0070C0,768
CENTRAL REGION,KASUNGU,NYONDO James Mbowe,INDEPENDENT,#948A54,1036
CENTRAL REGION,KASUNGU,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,63611
CENTRAL REGION,NKHOTAKOTA,BINGU,DPP,#00B0F0,58115
CENTRAL REGION,NKHOTAKOTA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,730
CENTRAL REGION,NKHOTAKOTA,GONDWE Loveness  (Ms),NARC,#948A54,860
CENTRAL REGION,NKHOTAKOTA,MASAULI Stanley Edingtone,RP,#948A54,815
CENTRAL REGION,NKHOTAKOTA,NYASULU Gowa Dindi,AFORD,#0070C0,525
CENTRAL REGION,NKHOTAKOTA,NYONDO James Mbowe,INDEPENDENT,#948A54,667
CENTRAL REGION,NKHOTAKOTA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,43249
CENTRAL REGION,NTCHISI,BINGU,DPP,#00B0F0,61051
CENTRAL REGION,NTCHISI,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,716
CENTRAL REGION,NTCHISI,GONDWE Loveness  (Ms),NARC,#948A54,368
CENTRAL REGION,NTCHISI,MASAULI Stanley Edingtone,RP,#948A54,737
CENTRAL REGION,NTCHISI,NYASULU Gowa Dindi,AFORD,#0070C0,208
CENTRAL REGION,NTCHISI,NYONDO James Mbowe,INDEPENDENT,#948A54,348
CENTRAL REGION,NTCHISI,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,16211
CENTRAL REGION,DOWA,BINGU,DPP,#00B0F0,106221
CENTRAL REGION,DOWA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1895
CENTRAL REGION,DOWA,GONDWE Loveness  (Ms),NARC,#948A54,1582
CENTRAL REGION,DOWA,MASAULI Stanley Edingtone,RP,#948A54,2209
CENTRAL REGION,DOWA,NYASULU Gowa Dindi,AFORD,#0070C0,559
CENTRAL REGION,DOWA,NYONDO James Mbowe,INDEPENDENT,#948A54,1187
CENTRAL REGION,DOWA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,78953
CENTRAL REGION,SALIMA,BINGU,DPP,#00B0F0,45120
CENTRAL REGION,SALIMA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1286
CENTRAL REGION,SALIMA,GONDWE Loveness  (Ms),NARC,#948A54,1132
CENTRAL REGION,SALIMA,MASAULI Stanley Edingtone,RP,#948A54,1307
CENTRAL REGION,SALIMA,NYASULU Gowa Dindi,AFORD,#0070C0,643
CENTRAL REGION,SALIMA,NYONDO James Mbowe,INDEPENDENT,#948A54,1076
CENTRAL REGION,SALIMA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,53349
CENTRAL REGION,MCHINJI,BINGU,DPP,#00B0F0,84090
CENTRAL REGION,MCHINJI,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1611
CENTRAL REGION,MCHINJI,GONDWE Loveness  (Ms),NARC,#948A54,1600
CENTRAL REGION,MCHINJI,MASAULI Stanley Edingtone,RP,#948A54,1550
CENTRAL REGION,MCHINJI,NYASULU Gowa Dindi,AFORD,#0070C0,468
CENTRAL REGION,MCHINJI,NYONDO James Mbowe,INDEPENDENT,#948A54,1308
CENTRAL REGION,MCHINJI,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,61926
CENTRAL REGION,LILONGWE,BINGU,DPP,#00B0F0,255616
CENTRAL REGION,LILONGWE,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,3847
CENTRAL REGION,LILONGWE,GONDWE Loveness  (Ms),NARC,#948A54,3603
CENTRAL REGION,LILONGWE,MASAULI Stanley Edingtone,RP,#948A54,3710
CENTRAL REGION,LILONGWE,NYASULU Gowa Dindi,AFORD,#0070C0,1634
CENTRAL REGION,LILONGWE,NYONDO James Mbowe,INDEPENDENT,#948A54,4532
CENTRAL REGION,LILONGWE,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,312010
CENTRAL REGION,DEDZA,BINGU,DPP,#00B0F0,57248
CENTRAL REGION,DEDZA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1964
CENTRAL REGION,DEDZA,GONDWE Loveness  (Ms),NARC,#948A54,1895
CENTRAL REGION,DEDZA,MASAULI Stanley Edingtone,RP,#948A54,1683
CENTRAL REGION,DEDZA,NYASULU Gowa Dindi,AFORD,#0070C0,1066
CENTRAL REGION,DEDZA,NYONDO James Mbowe,INDEPENDENT,#948A54,2067
CENTRAL REGION,DEDZA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,128120
CENTRAL REGION,NTCHEU,BINGU,DPP,#00B0F0,123467
CENTRAL REGION,NTCHEU,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1109
CENTRAL REGION,NTCHEU,GONDWE Loveness  (Ms),NARC,#948A54,923
CENTRAL REGION,NTCHEU,MASAULI Stanley Edingtone,RP,#948A54,1220
CENTRAL REGION,NTCHEU,NYASULU Gowa Dindi,AFORD,#0070C0,533
CENTRAL REGION,NTCHEU,NYONDO James Mbowe,INDEPENDENT,#948A54,582
CENTRAL REGION,NTCHEU,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,23093
SOUTHERN REGION,MANGOCHI,BINGU,DPP,#00B0F0,71279
SOUTHERN REGION,MANGOCHI,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,3661
SOUTHERN REGION,MANGOCHI,GONDWE Loveness  (Ms),NARC,#948A54,2414
SOUTHERN REGION,MANGOCHI,MASAULI Stanley Edingtone,RP,#948A54,2686
SOUTHERN REGION,MANGOCHI,NYASULU Gowa Dindi,AFORD,#0070C0,3186
SOUTHERN REGION,MANGOCHI,NYONDO James Mbowe,INDEPENDENT,#948A54,4148
SOUTHERN REGION,MANGOCHI,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,181689
SOUTHERN REGION,BALAKA,BINGU,DPP,#00B0F0,59387
SOUTHERN REGION,BALAKA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,876
SOUTHERN REGION,BALAKA,GONDWE Loveness  (Ms),NARC,#948A54,735
SOUTHERN REGION,BALAKA,MASAULI Stanley Edingtone,RP,#948A54,486
SOUTHERN REGION,BALAKA,NYASULU Gowa Dindi,AFORD,#0070C0,495
SOUTHERN REGION,BALAKA,NYONDO James Mbowe,INDEPENDENT,#948A54,520
SOUTHERN REGION,BALAKA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,48078
SOUTHERN REGION,MACHINGA,BINGU,DPP,#00B0F0,62211
SOUTHERN REGION,MACHINGA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1869
SOUTHERN REGION,MACHINGA,GONDWE Loveness  (Ms),NARC,#948A54,987
SOUTHERN REGION,MACHINGA,MASAULI Stanley Edingtone,RP,#948A54,1301
SOUTHERN REGION,MACHINGA,NYASULU Gowa Dindi,AFORD,#0070C0,1348
SOUTHERN REGION,MACHINGA,NYONDO James Mbowe,INDEPENDENT,#948A54,1358
SOUTHERN REGION,MACHINGA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,102714
SOUTHERN REGION,ZOMBA,BINGU,DPP,#00B0F0,164237
SOUTHERN REGION,ZOMBA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1677
SOUTHERN REGION,ZOMBA,GONDWE Loveness  (Ms),NARC,#948A54,1075
SOUTHERN REGION,ZOMBA,MASAULI Stanley Edingtone,RP,#948A54,980
SOUTHERN REGION,ZOMBA,NYASULU Gowa Dindi,AFORD,#0070C0,685
SOUTHERN REGION,ZOMBA,NYONDO James Mbowe,INDEPENDENT,#948A54,797
SOUTHERN REGION,ZOMBA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,57056
SOUTHERN REGION,CHIRADZULU,BINGU,DPP,#00B0F0,77018
SOUTHERN REGION,CHIRADZULU,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,680
SOUTHERN REGION,CHIRADZULU,GONDWE Loveness  (Ms),NARC,#948A54,848
SOUTHERN REGION,CHIRADZULU,MASAULI Stanley Edingtone,RP,#948A54,702
SOUTHERN REGION,CHIRADZULU,NYASULU Gowa Dindi,AFORD,#0070C0,432
SOUTHERN REGION,CHIRADZULU,NYONDO James Mbowe,INDEPENDENT,#948A54,324
SOUTHERN REGION,CHIRADZULU,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,19821
SOUTHERN REGION,BLANTYRE,BINGU,DPP,#00B0F0,254822
SOUTHERN REGION,BLANTYRE,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1480
SOUTHERN REGION,BLANTYRE,GONDWE Loveness  (Ms),NARC,#948A54,1298
SOUTHERN REGION,BLANTYRE,MASAULI Stanley Edingtone,RP,#948A54,1421
SOUTHERN REGION,BLANTYRE,NYASULU Gowa Dindi,AFORD,#0070C0,711
SOUTHERN REGION,BLANTYRE,NYONDO James Mbowe,INDEPENDENT,#948A54,873
SOUTHERN REGION,BLANTYRE,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,82440
SOUTHERN REGION,MWANZA,BINGU,DPP,#00B0F0,25551
SOUTHERN REGION,MWANZA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,269
SOUTHERN REGION,MWANZA,GONDWE Loveness  (Ms),NARC,#948A54,262
SOUTHERN REGION,MWANZA,MASAULI Stanley Edingtone,RP,#948A54,143
SOUTHERN REGION,MWANZA,NYASULU Gowa Dindi,AFORD,#0070C0,66
SOUTHERN REGION,MWANZA,NYONDO James Mbowe,INDEPENDENT,#948A54,58
SOUTHERN REGION,MWANZA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,2233
SOUTHERN REGION,THYOLO,BINGU,DPP,#00B0F0,151144
SOUTHERN REGION,THYOLO,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1205
SOUTHERN REGION,THYOLO,GONDWE Loveness  (Ms),NARC,#948A54,1261
SOUTHERN REGION,THYOLO,MASAULI Stanley Edingtone,RP,#948A54,1264
SOUTHERN REGION,THYOLO,NYASULU Gowa Dindi,AFORD,#0070C0,395
SOUTHERN REGION,THYOLO,NYONDO James Mbowe,INDEPENDENT,#948A54,514
SOUTHERN REGION,THYOLO,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,9577
SOUTHERN REGION,PHALOMBE,BINGU,DPP,#00B0F0,85031
SOUTHERN REGION,PHALOMBE,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,981
SOUTHERN REGION,PHALOMBE,GONDWE Loveness  (Ms),NARC,#948A54,774
SOUTHERN REGION,PHALOMBE,MASAULI Stanley Edingtone,RP,#948A54,1925
SOUTHERN REGION,PHALOMBE,NYASULU Gowa Dindi,AFORD,#0070C0,432
SOUTHERN REGION,PHALOMBE,NYONDO James Mbowe,INDEPENDENT,#948A54,281
SOUTHERN REGION,PHALOMBE,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,9089
SOUTHERN REGION,MULANJE,BINGU,DPP,#00B0F0,152884
SOUTHERN REGION,MULANJE,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1524
SOUTHERN REGION,MULANJE,GONDWE Loveness  (Ms),NARC,#948A54,1430
SOUTHERN REGION,MULANJE,MASAULI Stanley Edingtone,RP,#948A54,1441
SOUTHERN REGION,MULANJE,NYASULU Gowa Dindi,AFORD,#0070C0,651
SOUTHERN REGION,MULANJE,NYONDO James Mbowe,INDEPENDENT,#948A54,772
SOUTHERN REGION,MULANJE,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,22936
SOUTHERN REGION,CHIKWAWA,BINGU,DPP,#00B0F0,94842
SOUTHERN REGION,CHIKWAWA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1635
SOUTHERN REGION,CHIKWAWA,GONDWE Loveness  (Ms),NARC,#948A54,823
SOUTHERN REGION,CHIKWAWA,MASAULI Stanley Edingtone,RP,#948A54,1554
SOUTHERN REGION,CHIKWAWA,NYASULU Gowa Dindi,AFORD,#0070C0,531
SOUTHERN REGION,CHIKWAWA,NYONDO James Mbowe,INDEPENDENT,#948A54,1554
SOUTHERN REGION,CHIKWAWA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,13913
SOUTHERN REGION,NSANJE,BINGU,DPP,#00B0F0,57980
SOUTHERN REGION,NSANJE,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,1030
SOUTHERN REGION,NSANJE,GONDWE Loveness  (Ms),NARC,#948A54,1614
SOUTHERN REGION,NSANJE,MASAULI Stanley Edingtone,RP,#948A54,1213
SOUTHERN REGION,NSANJE,NYASULU Gowa Dindi,AFORD,#0070C0,504
SOUTHERN REGION,NSANJE,NYONDO James Mbowe,INDEPENDENT,#948A54,986
SOUTHERN REGION,NSANJE,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,8989
SOUTHERN REGION,NENO,BINGU,DPP,#00B0F0,27888
SOUTHERN REGION,NENO,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,190
SOUTHERN REGION,NENO,GONDWE Loveness  (Ms),NARC,#948A54,272
SOUTHERN REGION,NENO,MASAULI Stanley Edingtone,RP,#948A54,109
SOUTHERN REGION,NENO,NYASULU Gowa Dindi,AFORD,#0070C0,99
SOUTHERN REGION,NENO,NYONDO James Mbowe,INDEPENDENT,#948A54,107
SOUTHERN REGION,NENO,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,2796
