REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,BINGU,DPP,#00B0F0,70757
NORTHERN REGION,CHITIPA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,251
NORTHERN REGION,CHITIPA,GONDWE Loveness  (Ms),NARC,#948A54,204
NORTHERN REGION,CHITIPA,MASAULI Stanley Edingtone,RP,#948A54,337
NORTHERN REGION,CHITIPA,NYASULU Gowa Dindi,AFORD,#0070C0,149
NORTHERN REGION,CHITIPA,NYONDO James Mbowe,INDEPENDENT,#948A54,288
NORTHERN REGION,CHITIPA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,735
NORTHERN REGION,KARONGA,BINGU,DPP,#00B0F0,98268
NORTHERN REGION,KARONGA,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,393
NORTHERN REGION,KARONGA,GONDWE Loveness  (Ms),NARC,#948A54,433
NORTHERN REGION,KARONGA,MASAULI Stanley Edingtone,RP,#948A54,315
NORTHERN REGION,KARONGA,NYASULU Gowa Dindi,AFORD,#0070C0,647
NORTHERN REGION,KARONGA,NYONDO James Mbowe,INDEPENDENT,#948A54,394
NORTHERN REGION,KARONGA,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,2956
NORTHERN REGION,RUMPHI,BINGU,DPP,#00B0F0,71036
NORTHERN REGION,RUMPHI,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,264
NORTHERN REGION,RUMPHI,GONDWE Loveness  (Ms),NARC,#948A54,442
NORTHERN REGION,RUMPHI,MASAULI Stanley Edingtone,RP,#948A54,164
NORTHERN REGION,RUMPHI,NYASULU Gowa Dindi,AFORD,#0070C0,1770
NORTHERN REGION,RUMPHI,NYONDO James Mbowe,INDEPENDENT,#948A54,226
NORTHERN REGION,RUMPHI,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,2302
NORTHERN REGION,NKHATA BAY,BINGU,DPP,#00B0F0,60421
NORTHERN REGION,NKHATA BAY,CHIBAMBO Kamuzu Walter,PETRA,#A5D203,251
NORTHERN REGION,NKHATA BAY,GONDWE Loveness  (Ms),NARC,#948A54,372
NORTHERN REGION,NKHATA BAY,MASAULI Stanley Edingtone,RP,#948A54,273
NORTHERN REGION,NKHATA BAY,NYASULU Gowa Dindi,AFORD,#0070C0,142
NORTHERN REGION,NKHATA BAY,NYONDO James Mbowe,INDEPENDENT,#948A54,268
NORTHERN REGION,NKHATA BAY,JOHN ZENASI UNGAPAKE TEMBO,MCP,#00A200,2791
