REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED,,,,,,,,,
Southern Region,Machinga ,PETER DSD KUWANI,MMD,#008000,"1,684",,,,,,,,,
Southern Region,Machinga ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"131,439",,,,,,,,,
Southern Region,Mangochi ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"33,293",,,,,,,,,
Southern Region,Mangochi ,PETER DSD KUWANI,MMD,#008000,"2,630",,,,,,,,,
Southern Region,Mangochi ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"195,531",,,,,,,,,
Southern Region,Mulanje ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"17,499",,,,,,,,,
Southern Region,Mulanje ,PETER DSD KUWANI,MMD,#008000,"1,417",,,,,,,,,
Southern Region,Mulanje ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"173,482",,,,,,,,,
Southern Region,Mwanza ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"9,456",,,,,,,,,
Southern Region,Mwanza ,PETER DSD KUWANI,MMD,#008000,336,,,,,,,,,
Southern Region,Mwanza ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"12,185",,,,,,,,,
Southern Region,Neno ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"6,652",,,,,,,,,
Southern Region,Neno ,PETER DSD KUWANI,MMD,#008000,364,,,,,,,,,
Southern Region,Neno ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"21,878",,,,,,,,,
Southern Region,Nsanje ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"21,923",,,,,,,,,
Southern Region,Nsanje ,PETER DSD KUWANI,MMD,#008000,666,,,,,,,,,
Southern Region,Nsanje ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"57,861",,,,,,,,,
Southern Region,Phalombe ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"6,092",,,,,,,,,
Southern Region,Phalombe ,PETER DSD KUWANI,MMD,#008000,674,,,,,,,,,
Southern Region,Phalombe ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"118,990",,,,,,,,,
Southern Region,Thyolo ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"13,631",,,,,,,,,
Southern Region,Thyolo ,PETER DSD KUWANI,MMD,#008000,964,,,,,,,,,
Southern Region,Thyolo ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"179,454",,,,,,,,,
Southern Region,Zomba ,LAZARUS MCCARTHY CHAKWERA,MCP,#00A200,"46,610",,,,,,,,,
Southern Region,Zomba ,PETER DSD KUWANI,MMD,#008000,"1,823",,,,,,,,,
Southern Region,Zomba ,Prof. ARTHUR PETER MUTHARIKA,DPP,#00B0F0,"149,051",,,,,,,,,
